"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/07/2000","AQS","360610010","1","73","ppb","71","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/08/2000","AQS","360610010","1","95","ppb","95","","19","79.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/09/2000","AQS","360610010","1","75","ppb","73","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/10/2000","AQS","360610010","1","58","ppb","55","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/11/2000","AQS","360610010","1","60","ppb","57","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/12/2000","AQS","360610010","1","58","ppb","55","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/13/2000","AQS","360610010","1","53","ppb","50","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/14/2000","AQS","360610010","1","50","ppb","47","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/15/2000","AQS","360610010","1","57","ppb","54","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/16/2000","AQS","360610010","1","62","ppb","60","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/17/2000","AQS","360610010","1","66","ppb","64","","18","75.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/18/2000","AQS","360610010","1","62","ppb","60","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/19/2000","AQS","360610010","1","55","ppb","52","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/20/2000","AQS","360610010","1","42","ppb","40","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/21/2000","AQS","360610010","1","45","ppb","42","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/22/2000","AQS","360610010","1","44","ppb","42","","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/23/2000","AQS","360610010","1","48","ppb","45","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/24/2000","AQS","360610010","1","61","ppb","58","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/25/2000","AQS","360610010","1","64","ppb","62","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/26/2000","AQS","360610010","1","48","ppb","45","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/27/2000","AQS","360610010","1","47","ppb","44","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/28/2000","AQS","360610010","1","39","ppb","37","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/29/2000","AQS","360610010","1","27","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/30/2000","AQS","360610010","1","34","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"05/31/2000","AQS","360610010","1","52","ppb","49","","19","79.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/01/2000","AQS","360610010","1","102","ppb","101","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/02/2000","AQS","360610010","1","82","ppb","81","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/03/2000","AQS","360610010","1","45","ppb","42","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/04/2000","AQS","360610010","1","52","ppb","49","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/05/2000","AQS","360610010","1","40","ppb","38","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/06/2000","AQS","360610010","1","36","ppb","34","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/08/2000","AQS","360610010","1","70","ppb","68","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/09/2000","AQS","360610010","1","82","ppb","81","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/10/2000","AQS","360610010","1","68","ppb","66","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/11/2000","AQS","360610010","1","65","ppb","63","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
